zh,en,group,group_zh
滑動,sliding,motion,動作型態
慢速旋轉,slow_rotation,speed,速度
中速旋轉,medium_rotation,speed,速度
高速旋轉,high_rotation,speed,速度
無速度要求旋轉,unspec_rotation,speed,速度
輕軸頸壓力,light_journal_load,journal_load,軸頸壓力
中軸頸壓力,medium_journal_load,journal_load,軸頸壓力
重軸頸壓力,heavy_journal_load,journal_load,軸頸壓力
大溫差,large_temp_diff,environment,環境
定位,location,purpose,用途
固定,stationary,purpose,用途
精確,precision,purpose,用途
過渡,transition,purpose,用途
剛性對準,rigid_alignment,purpose,用途
可裝拆,removable,assembly,裝配
壓入,press_in,press,壓入強度
輕壓入,light_press,press,壓入強度
中壓入,medium_press,press,壓入強度
重壓入,heavy_press,press,壓入強度
強制壓入,forced_press,press,壓入強度
